ID	Macrosegmento	Segmento Empresarial	Especialidade Principal	Serviços Principais	Palavras-chave / Termos de Busca	ICP B2B (Cliente Ideal)	Setores-alvo	Necessidade / Dor que Resolve	Sinais de Oportunidade para Busca	Objetivo de Captação	Modelo de Contratação	Potencial de Recorrência
B2B-0076	Jurídico e Compliance	Advocacia Concorrencial	CADE	"CADE; análise concorrencial; atos de concentração; compliance antitruste"	"advocacia concorrencial; juridico e compliance; cade; analise concorrencial; atos de concentracao; compliance antitruste"	Empresas com contratos, funcionários, dados pessoais, operações reguladas, exposição a risco ou crescimento societário	"Todos os setores; com maior aderência em financeiro; saúde; tecnologia; indústria; construção; varejo"	Risco jurídico, passivos, contratos frágeis, não conformidade, exposição regulatória ou necessidade de governança. Demanda típica: cade.	"crescimento de headcount; novas unidades; rodada/M&A; incidentes; contratos relevantes; licitações; atuação regulada; tratamento de dados"	Prospectar empresas do ICP com sinais de crescimento de headcount ou novas unidades e potencial demanda por cade e análise concorrencial.	Projeto + assessoria recorrente	Alta
B2B-0077	Jurídico e Compliance	Advocacia de Recuperação de Crédito	Cobrança	"Cobrança; negociação; execução; recuperação judicial; acordos"	"advocacia de recuperacao de credito; juridico e compliance; cobranca; negociacao; execucao; recuperacao judicial; acordos"	Empresas com contratos, funcionários, dados pessoais, operações reguladas, exposição a risco ou crescimento societário	"Todos os setores; com maior aderência em financeiro; saúde; tecnologia; indústria; construção; varejo"	Risco jurídico, passivos, contratos frágeis, não conformidade, exposição regulatória ou necessidade de governança. Demanda típica: cobrança.	"crescimento de headcount; novas unidades; rodada/M&A; incidentes; contratos relevantes; licitações; atuação regulada; tratamento de dados"	Prospectar empresas do ICP com sinais de crescimento de headcount ou novas unidades e potencial demanda por cobrança e negociação.	Projeto + assessoria recorrente	Alta
B2B-0078	Jurídico e Compliance	Consultoria de Licitações	Editais	"Editais; documentação; pregões; recursos; contratos públicos"	"consultoria de licitacoes; juridico e compliance; editais; documentacao; pregoes; recursos; contratos publicos"	Empresas com contratos, funcionários, dados pessoais, operações reguladas, exposição a risco ou crescimento societário	"Todos os setores; com maior aderência em financeiro; saúde; tecnologia; indústria; construção; varejo"	Risco jurídico, passivos, contratos frágeis, não conformidade, exposição regulatória ou necessidade de governança. Demanda típica: editais.	"crescimento de headcount; novas unidades; rodada/M&A; incidentes; contratos relevantes; licitações; atuação regulada; tratamento de dados"	Prospectar empresas do ICP com sinais de crescimento de headcount ou novas unidades e potencial demanda por editais e documentação.	Projeto + assessoria recorrente	Alta
B2B-0079	Jurídico e Compliance	Consultoria de Proteção de Dados	Privacy by design	"Privacy by design; DPIA; governança de dados; incidentes; treinamento"	"consultoria de protecao de dados; juridico e compliance; privacy by design; dpia; governanca de dados; incidentes; treinamento"	Empresas com contratos, funcionários, dados pessoais, operações reguladas, exposição a risco ou crescimento societário	"Todos os setores; com maior aderência em financeiro; saúde; tecnologia; indústria; construção; varejo"	Risco jurídico, passivos, contratos frágeis, não conformidade, exposição regulatória ou necessidade de governança. Demanda típica: privacy by design.	"crescimento de headcount; novas unidades; rodada/M&A; incidentes; contratos relevantes; licitações; atuação regulada; tratamento de dados"	Prospectar empresas do ICP com sinais de crescimento de headcount ou novas unidades e potencial demanda por privacy by design e dpia.	Projeto + assessoria recorrente	Alta
B2B-0080	Jurídico e Compliance	Empresa de Canal de Denúncias	Canal ético	"Canal ético; recebimento de relatos; triagem; relatórios; gestão de casos"	"empresa de canal de denuncias; juridico e compliance; canal etico; recebimento de relatos; triagem; relatorios; gestao de casos"	Empresas com contratos, funcionários, dados pessoais, operações reguladas, exposição a risco ou crescimento societário	"Todos os setores; com maior aderência em financeiro; saúde; tecnologia; indústria; construção; varejo"	Risco jurídico, passivos, contratos frágeis, não conformidade, exposição regulatória ou necessidade de governança. Demanda típica: canal ético.	"crescimento de headcount; novas unidades; rodada/M&A; incidentes; contratos relevantes; licitações; atuação regulada; tratamento de dados"	Prospectar empresas do ICP com sinais de crescimento de headcount ou novas unidades e potencial demanda por canal ético e recebimento de relatos.	Projeto + assessoria recorrente	Alta
B2B-0081	Contabilidade e Finanças Corporativas	Escritório Contábil	Contabilidade	"Contabilidade; fiscal; folha; obrigações acessórias; abertura de empresas"	"escritorio contabil; contabilidade e financas corporativas; contabilidade; fiscal; folha; obrigacoes acessorias; abertura de empresas"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: contabilidade.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por contabilidade e fiscal.	Mensalidade + projetos	Alta
B2B-0082	Contabilidade e Finanças Corporativas	Contabilidade Consultiva	DRE gerencial	"DRE gerencial; indicadores; planejamento; controladoria; análise financeira"	"contabilidade consultiva; contabilidade e financas corporativas; dre gerencial; indicadores; planejamento; controladoria; analise financeira"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: dre gerencial.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por dre gerencial e indicadores.	Mensalidade + projetos	Alta
B2B-0083	Contabilidade e Finanças Corporativas	BPO Financeiro	Contas a pagar	"Contas a pagar; contas a receber; conciliação; fluxo de caixa; cobrança"	"bpo financeiro; contabilidade e financas corporativas; contas a pagar; contas a receber; conciliacao; fluxo de caixa; cobranca"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: contas a pagar.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por contas a pagar e contas a receber.	Mensalidade + projetos	Alta
B2B-0084	Contabilidade e Finanças Corporativas	BPO Contábil	Escrituração	"Escrituração; fechamento; conciliações; relatórios; obrigações"	"bpo contabil; contabilidade e financas corporativas; escrituracao; fechamento; conciliacoes; relatorios; obrigacoes"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: escrituração.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por escrituração e fechamento.	Mensalidade + projetos	Alta
B2B-0085	Contabilidade e Finanças Corporativas	BPO Fiscal	Apuração de impostos	"Apuração de impostos; notas fiscais; obrigações; compliance fiscal; SPED"	"bpo fiscal; contabilidade e financas corporativas; apuracao de impostos; notas fiscais; obrigacoes; compliance fiscal; sped"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: apuração de impostos.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por apuração de impostos e notas fiscais.	Mensalidade + projetos	Alta
B2B-0086	Contabilidade e Finanças Corporativas	BPO de Folha de Pagamento	Folha	"Folha; encargos; admissões; férias; rescisões; eSocial"	"bpo de folha de pagamento; contabilidade e financas corporativas; folha; encargos; admissoes; ferias; rescisoes; esocial"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: folha.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por folha e encargos.	Mensalidade + projetos	Alta
B2B-0087	Contabilidade e Finanças Corporativas	Consultoria Financeira Empresarial	Fluxo de caixa	"Fluxo de caixa; orçamento; capital de giro; indicadores; planejamento"	"consultoria financeira empresarial; contabilidade e financas corporativas; fluxo de caixa; orcamento; capital de giro; indicadores; planejamento"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: fluxo de caixa.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por fluxo de caixa e orçamento.	Mensalidade + projetos	Alta
B2B-0088	Contabilidade e Finanças Corporativas	Consultoria de Controladoria	Budget	"Budget; forecast; fechamento; KPIs; centros de custo; relatórios"	"consultoria de controladoria; contabilidade e financas corporativas; budget; forecast; fechamento; kpis; centros de custo; relatorios"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: budget.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por budget e forecast.	Mensalidade + projetos	Alta
B2B-0089	Contabilidade e Finanças Corporativas	Consultoria Tributária	Planejamento tributário	"Planejamento tributário; revisão fiscal; créditos; compliance; diagnóstico"	"consultoria tributaria; contabilidade e financas corporativas; planejamento tributario; revisao fiscal; creditos; compliance; diagnostico"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: planejamento tributário.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por planejamento tributário e revisão fiscal.	Mensalidade + projetos	Alta
B2B-0090	Contabilidade e Finanças Corporativas	Recuperação de Créditos Tributários	Auditoria fiscal	"Auditoria fiscal; identificação de créditos; compensação; restituição"	"recuperacao de creditos tributarios; contabilidade e financas corporativas; auditoria fiscal; identificacao de creditos; compensacao; restituicao"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: auditoria fiscal.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por auditoria fiscal e identificação de créditos.	Mensalidade + projetos	Alta
B2B-0091	Contabilidade e Finanças Corporativas	Auditoria Contábil	Auditoria independente	"Auditoria independente; demonstrações; controles; testes; parecer"	"auditoria contabil; contabilidade e financas corporativas; auditoria independente; demonstracoes; controles; testes; parecer"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: auditoria independente.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por auditoria independente e demonstrações.	Mensalidade + projetos	Alta
B2B-0092	Contabilidade e Finanças Corporativas	Auditoria Interna	Controles internos	"Controles internos; riscos; processos; compliance; planos de ação"	"auditoria interna; contabilidade e financas corporativas; controles internos; riscos; processos; compliance; planos de acao"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: controles internos.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por controles internos e riscos.	Mensalidade + projetos	Alta
B2B-0093	Contabilidade e Finanças Corporativas	Empresa de Valuation	Avaliação de empresas	"Avaliação de empresas; modelagem financeira; laudos; fairness opinion"	"empresa de valuation; contabilidade e financas corporativas; avaliacao de empresas; modelagem financeira; laudos; fairness opinion"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: avaliação de empresas.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por avaliação de empresas e modelagem financeira.	Mensalidade + projetos	Alta
B2B-0094	Contabilidade e Finanças Corporativas	Consultoria de M&A Financeiro	Modelagem	"Modelagem; valuation; due diligence financeira; estruturação; negociação"	"consultoria de m&a financeiro; contabilidade e financas corporativas; modelagem; valuation; due diligence financeira; estruturacao; negociacao"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: modelagem.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por modelagem e valuation.	Mensalidade + projetos	Alta
B2B-0095	Contabilidade e Finanças Corporativas	Consultoria de Custos	Custeio	"Custeio; margem; rentabilidade; rateios; redução de custos"	"consultoria de custos; contabilidade e financas corporativas; custeio; margem; rentabilidade; rateios; reducao de custos"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: custeio.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por custeio e margem.	Mensalidade + projetos	Alta
B2B-0096	Contabilidade e Finanças Corporativas	Planejamento Orçamentário	Budget	"Budget; forecast; cenários; metas; acompanhamento; rolling forecast"	"planejamento orcamentario; contabilidade e financas corporativas; budget; forecast; cenarios; metas; acompanhamento; rolling forecast"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: budget.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por budget e forecast.	Mensalidade + projetos	Alta
B2B-0097	Contabilidade e Finanças Corporativas	Tesouraria Terceirizada	Gestão de caixa	"Gestão de caixa; aplicações; pagamentos; conciliação; liquidez"	"tesouraria terceirizada; contabilidade e financas corporativas; gestao de caixa; aplicacoes; pagamentos; conciliacao; liquidez"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: gestão de caixa.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por gestão de caixa e aplicações.	Mensalidade + projetos	Alta
B2B-0098	Contabilidade e Finanças Corporativas	Empresa de Cobrança B2B	Cobrança amigável	"Cobrança amigável; régua de cobrança; negociação; recuperação de inadimplência"	"empresa de cobranca b2b; contabilidade e financas corporativas; cobranca amigavel; regua de cobranca; negociacao; recuperacao de inadimplencia"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: cobrança amigável.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por cobrança amigável e régua de cobrança.	Mensalidade + projetos	Alta
B2B-0099	Contabilidade e Finanças Corporativas	Perícia Contábil	Laudos	"Laudos; cálculos; perícia judicial; assistência técnica; apuração de haveres"	"pericia contabil; contabilidade e financas corporativas; laudos; calculos; pericia judicial; assistencia tecnica; apuracao de haveres"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: laudos.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por laudos e cálculos.	Mensalidade + projetos	Alta
B2B-0100	Contabilidade e Finanças Corporativas	Consultoria para Incentivos Fiscais	Incentivos	"Incentivos; regimes especiais; benefícios regionais; projetos; compliance"	"consultoria para incentivos fiscais; contabilidade e financas corporativas; incentivos; regimes especiais; beneficios regionais; projetos; compliance"	PMEs, empresas em crescimento, grupos empresariais e negócios com complexidade fiscal, financeira ou de gestão	"Serviços; varejo; indústria; tecnologia; saúde; construção; logística; franquias"	Falta de visibilidade financeira, carga tributária, fechamento lento, inadimplência, controles frágeis ou necessidade de capital. Demanda típica: incentivos.	"crescimento de faturamento; múltiplas empresas; mudança de regime; expansão; atrasos de fechamento; alta inadimplência; captação/M&A"	Prospectar empresas do ICP com sinais de crescimento de faturamento ou múltiplas empresas e potencial demanda por incentivos e regimes especiais.	Mensalidade + projetos	Alta
B2B-0101	Recursos Humanos e Pessoas	Consultoria de RH	Estratégia de RH	"Estratégia de RH; cultura; políticas; indicadores; estrutura organizacional"	"consultoria de rh; recursos humanos e pessoas; estrategia de rh; cultura; politicas; indicadores; estrutura organizacional"	Empresas com equipes em crescimento, alto volume de contratação, turnover, necessidade de capacitação ou estruturação de RH	"Serviços; indústria; varejo; tecnologia; logística; saúde; construção; contact centers"	Dificuldade de contratar, reter, desenvolver ou administrar pessoas e benefícios. Demanda típica: estratégia de rh.	"muitas vagas abertas; expansão; alta rotatividade; nova liderança; crescimento de headcount; avaliação negativa de cultura; novas unidades"	Prospectar empresas do ICP com sinais de muitas vagas abertas ou expansão e potencial demanda por estratégia de rh e cultura.	Projeto + recorrência	Alta
B2B-0102	Recursos Humanos e Pessoas	Recrutamento e Seleção	Vagas	"Vagas; triagem; entrevistas; hunting; assessment"	"recrutamento e selecao; recursos humanos e pessoas; vagas; triagem; entrevistas; hunting; assessment"	Empresas com equipes em crescimento, alto volume de contratação, turnover, necessidade de capacitação ou estruturação de RH	"Serviços; indústria; varejo; tecnologia; logística; saúde; construção; contact centers"	Dificuldade de contratar, reter, desenvolver ou administrar pessoas e benefícios. Demanda típica: vagas.	"muitas vagas abertas; expansão; alta rotatividade; nova liderança; crescimento de headcount; avaliação negativa de cultura; novas unidades"	Prospectar empresas do ICP com sinais de muitas vagas abertas ou expansão e potencial demanda por vagas e triagem.	Projeto + recorrência	Alta
B2B-0103	Recursos Humanos e Pessoas	Headhunter Executivo	Executive search	"Executive search; mapeamento de mercado; entrevistas; referências"	"headhunter executivo; recursos humanos e pessoas; executive search; mapeamento de mercado; entrevistas; referencias"	Empresas com equipes em crescimento, alto volume de contratação, turnover, necessidade de capacitação ou estruturação de RH	"Serviços; indústria; varejo; tecnologia; logística; saúde; construção; contact centers"	Dificuldade de contratar, reter, desenvolver ou administrar pessoas e benefícios. Demanda típica: executive search.	"muitas vagas abertas; expansão; alta rotatividade; nova liderança; crescimento de headcount; avaliação negativa de cultura; novas unidades"	Prospectar empresas do ICP com sinais de muitas vagas abertas ou expansão e potencial demanda por executive search e mapeamento de mercado.	Projeto + recorrência	Alta
B2B-0104	Recursos Humanos e Pessoas	Empresa de Trabalho Temporário	Mão de obra temporária	"Mão de obra temporária; recrutamento; contratação; administração"	"empresa de trabalho temporario; recursos humanos e pessoas; mao de obra temporaria; recrutamento; contratacao; administracao"	Empresas com equipes em crescimento, alto volume de contratação, turnover, necessidade de capacitação ou estruturação de RH	"Serviços; indústria; varejo; tecnologia; logística; saúde; construção; contact centers"	Dificuldade de contratar, reter, desenvolver ou administrar pessoas e benefícios. Demanda típica: mão de obra temporária.	"muitas vagas abertas; expansão; alta rotatividade; nova liderança; crescimento de headcount; avaliação negativa de cultura; novas unidades"	Prospectar empresas do ICP com sinais de muitas vagas abertas ou expansão e potencial demanda por mão de obra temporária e recrutamento.	Projeto + recorrência	Alta
B2B-0105	Recursos Humanos e Pessoas	Terceirização de Mão de Obra	Outsourcing	"Outsourcing; gestão de equipes; folha; supervisão; reposição"	"terceirizacao de mao de obra; recursos humanos e pessoas; outsourcing; gestao de equipes; folha; supervisao; reposicao"	Empresas com equipes em crescimento, alto volume de contratação, turnover, necessidade de capacitação ou estruturação de RH	"Serviços; indústria; varejo; tecnologia; logística; saúde; construção; contact centers"	Dificuldade de contratar, reter, desenvolver ou administrar pessoas e benefícios. Demanda típica: outsourcing.	"muitas vagas abertas; expansão; alta rotatividade; nova liderança; crescimento de headcount; avaliação negativa de cultura; novas unidades"	Prospectar empresas do ICP com sinais de muitas vagas abertas ou expansão e potencial demanda por outsourcing e gestão de equipes.	Projeto + recorrência	Alta
B2B-0106	Recursos Humanos e Pessoas	Consultoria de Cargos e Salários	Arquitetura de cargos	"Arquitetura de cargos; faixas salariais; pesquisa; políticas"	"consultoria de cargos e salarios; recursos humanos e pessoas; arquitetura de cargos; faixas salariais; pesquisa; politicas"	Empresas com equipes em crescimento, alto volume de contratação, turnover, necessidade de capacitação ou estruturação de RH	"Serviços; indústria; varejo; tecnologia; logística; saúde; construção; contact centers"	Dificuldade de contratar, reter, desenvolver ou administrar pessoas e benefícios. Demanda típica: arquitetura de cargos.	"muitas vagas abertas; expansão; alta rotatividade; nova liderança; crescimento de headcount; avaliação negativa de cultura; novas unidades"	Prospectar empresas do ICP com sinais de muitas vagas abertas ou expansão e potencial demanda por arquitetura de cargos e faixas salariais.	Projeto + recorrência	Alta
B2B-0107	Recursos Humanos e Pessoas	Consultoria de Cultura Organizacional	Diagnóstico	"Diagnóstico; valores; rituais; liderança; planos de cultura"	"consultoria de cultura organizacional; recursos humanos e pessoas; diagnostico; valores; rituais; lideranca; planos de cultura"	Empresas com equipes em crescimento, alto volume de contratação, turnover, necessidade de capacitação ou estruturação de RH	"Serviços; indústria; varejo; tecnologia; logística; saúde; construção; contact centers"	Dificuldade de contratar, reter, desenvolver ou administrar pessoas e benefícios. Demanda típica: diagnóstico.	"muitas vagas abertas; expansão; alta rotatividade; nova liderança; crescimento de headcount; avaliação negativa de cultura; novas unidades"	Prospectar empresas do ICP com sinais de muitas vagas abertas ou expansão e potencial demanda por diagnóstico e valores.	Projeto + recorrência	Alta
B2B-0108	Recursos Humanos e Pessoas	Employer Branding	Proposta de valor	"Proposta de valor; marca empregadora; campanhas; conteúdo; pesquisa"	"employer branding; recursos humanos e pessoas; proposta de valor; marca empregadora; campanhas; conteudo; pesquisa"	Empresas com equipes em crescimento, alto volume de contratação, turnover, necessidade de capacitação ou estruturação de RH	"Serviços; indústria; varejo; tecnologia; logística; saúde; construção; contact centers"	Dificuldade de contratar, reter, desenvolver ou administrar pessoas e benefícios. Demanda típica: proposta de valor.	"muitas vagas abertas; expansão; alta rotatividade; nova liderança; crescimento de headcount; avaliação negativa de cultura; novas unidades"	Prospectar empresas do ICP com sinais de muitas vagas abertas ou expansão e potencial demanda por proposta de valor e marca empregadora.	Projeto + recorrência	Alta
B2B-0109	Recursos Humanos e Pessoas	People Analytics	Dashboards	"Dashboards; indicadores; turnover; absenteísmo; modelos preditivos"	"people analytics; recursos humanos e pessoas; dashboards; indicadores; turnover; absenteismo; modelos preditivos"	Empresas com equipes em crescimento, alto volume de contratação, turnover, necessidade de capacitação ou estruturação de RH	"Serviços; indústria; varejo; tecnologia; logística; saúde; construção; contact centers"	Dificuldade de contratar, reter, desenvolver ou administrar pessoas e benefícios. Demanda típica: dashboards.	"muitas vagas abertas; expansão; alta rotatividade; nova liderança; crescimento de headcount; avaliação negativa de cultura; novas unidades"	Prospectar empresas do ICP com sinais de muitas vagas abertas ou expansão e potencial demanda por dashboards e indicadores.	Projeto + recorrência	Alta
B2B-0110	Recursos Humanos e Pessoas	Assessment Empresarial	Avaliação comportamental	"Avaliação comportamental; potencial; competências; liderança; sucessão"	"assessment empresarial; recursos humanos e pessoas; avaliacao comportamental; potencial; competencias; lideranca; sucessao"	Empresas com equipes em crescimento, alto volume de contratação, turnover, necessidade de capacitação ou estruturação de RH	"Serviços; indústria; varejo; tecnologia; logística; saúde; construção; contact centers"	Dificuldade de contratar, reter, desenvolver ou administrar pessoas e benefícios. Demanda típica: avaliação comportamental.	"muitas vagas abertas; expansão; alta rotatividade; nova liderança; crescimento de headcount; avaliação negativa de cultura; novas unidades"	Prospectar empresas do ICP com sinais de muitas vagas abertas ou expansão e potencial demanda por avaliação comportamental e potencial.	Projeto + recorrência	Alta
